,tmax,tmin,rain,tmax_tomorrow,tmax_3,tmax_5,tmax_7,tmax_14,tmax_30,tmax_60,tmax_90
1980-09-03,67.0,57.0,0.0,71.0,68.33333333333333,69.0,69.14285714285714,68.35714285714286,68.93333333333334,71.38333333333334,70.37777777777778
1980-09-04,71.0,57.0,0.0,68.0,68.66666666666667,69.4,69.42857142857143,68.64285714285714,68.83333333333333,71.45,70.44444444444444
1980-09-05,68.0,57.0,0.0,66.0,68.66666666666667,68.8,69.14285714285714,68.64285714285714,68.8,71.43333333333334,70.43333333333334
1980-09-06,66.0,59.0,0.0,72.0,68.33333333333333,68.0,68.71428571428571,68.35714285714286,68.6,71.38333333333334,70.37777777777778
1980-09-07,72.0,59.0,0.0,71.0,68.66666666666667,68.8,68.85714285714286,68.71428571428571,68.76666666666667,71.36666666666666,70.43333333333334
1980-09-08,71.0,58.0,0.0,67.0,69.66666666666667,69.6,69.0,69.07142857142857,68.8,71.26666666666667,70.52222222222223
1980-09-09,67.0,58.0,0.0,70.0,70.0,68.8,68.85714285714286,69.07142857142857,68.7,71.25,70.54444444444445
1980-09-10,70.0,58.0,0.0,67.0,69.33333333333333,69.2,69.28571428571429,69.21428571428571,68.8,71.28333333333333,70.58888888888889
1980-09-11,67.0,57.0,0.0,67.0,68.0,69.4,68.71428571428571,69.07142857142857,68.8,71.25,70.61111111111111
1980-09-12,67.0,57.0,0.0,65.0,68.0,68.4,68.57142857142857,68.85714285714286,69.0,71.13333333333334,70.55555555555556
1980-09-13,65.0,57.0,0.0,68.0,66.33333333333333,67.2,68.42857142857143,68.57142857142857,69.06666666666666,70.86666666666666,70.44444444444444
1980-09-14,68.0,58.0,0.0,76.0,66.66666666666667,67.4,67.85714285714286,68.35714285714286,68.9,70.78333333333333,70.44444444444444
1980-09-15,76.0,57.0,0.0,74.0,69.66666666666667,68.6,68.57142857142857,68.78571428571429,69.1,70.85,70.5
1980-09-16,74.0,56.0,0.0,79.0,72.66666666666667,70.0,69.57142857142857,69.21428571428571,69.2,71.01666666666667,70.62222222222222
1980-09-17,79.0,58.0,0.0,72.0,76.33333333333333,72.4,70.85714285714286,70.07142857142857,69.5,71.13333333333334,70.83333333333333
1980-09-18,72.0,58.0,0.0,71.0,75.0,73.8,71.57142857142857,70.14285714285714,69.4,71.11666666666666,70.91111111111111
1980-09-19,71.0,59.0,0.0,69.0,74.0,74.4,72.14285714285714,70.35714285714286,69.36666666666666,71.1,70.9888888888889
1980-09-20,69.0,56.0,0.0,77.0,70.66666666666667,73.0,72.71428571428571,70.57142857142857,69.43333333333334,71.1,71.03333333333333
1980-09-21,77.0,55.0,0.0,85.0,72.33333333333333,73.6,74.0,70.92857142857143,69.73333333333333,71.21666666666667,71.12222222222222
1980-09-22,85.0,54.0,0.0,86.0,77.0,74.8,75.28571428571429,71.92857142857143,70.23333333333333,71.4,71.3
1980-09-23,86.0,54.0,0.0,80.0,82.66666666666667,77.6,77.0,73.28571428571429,70.86666666666666,71.45,71.47777777777777
1980-09-24,80.0,57.0,0.0,72.0,83.66666666666667,79.4,77.14285714285714,74.0,71.33333333333333,71.51666666666667,71.53333333333333
1980-09-25,72.0,55.0,0.0,69.0,79.33333333333333,80.0,77.14285714285714,74.35714285714286,71.5,71.38333333333334,71.41111111111111
1980-09-26,69.0,58.0,0.0,65.0,73.66666666666667,78.4,76.85714285714286,74.5,71.53333333333333,71.16666666666667,71.25555555555556
1980-09-27,65.0,58.0,0.0,72.0,68.66666666666667,74.4,76.28571428571429,74.5,71.4,70.93333333333334,71.17777777777778
1980-09-28,72.0,58.0,0.0,86.0,68.66666666666667,71.6,75.57142857142857,74.78571428571429,71.46666666666667,70.85,71.21111111111111
1980-09-29,86.0,54.0,0.0,93.0,74.33333333333333,72.8,75.71428571428571,75.5,72.03333333333333,70.86666666666666,71.44444444444444
1980-09-30,93.0,56.0,0.0,93.0,83.66666666666667,77.0,76.71428571428571,76.85714285714286,72.76666666666667,71.01666666666667,71.76666666666667
1980-10-01,93.0,62.0,0.0,98.0,90.66666666666667,81.8,78.57142857142857,77.85714285714286,73.53333333333333,71.41666666666667,72.07777777777778
1980-10-02,98.0,63.0,0.0,92.0,94.66666666666667,88.4,82.28571428571429,79.71428571428571,74.53333333333333,71.8,72.43333333333334
1980-10-03,92.0,61.0,0.0,73.0,94.33333333333333,92.4,85.57142857142857,81.21428571428571,75.36666666666666,72.15,72.71111111111111
1980-10-04,73.0,59.0,0.0,67.0,87.66666666666667,89.8,86.71428571428571,81.5,75.43333333333334,72.13333333333334,72.77777777777777
1980-10-05,67.0,59.0,0.0,71.0,77.33333333333333,84.6,86.0,80.78571428571429,75.4,72.1,72.75555555555556
