,user_id,book_id,rating,title
217,-1,149847,4,Mort: The Play
218,-1,9300768,4,The Heroes  (First Law World #5)
219,-1,8442457,4,Gone Girl
220,-1,8171378,4,The Warmth of Other Suns: The Epic Story of America's Great Migration
221,-1,8855321,4,"Leviathan Wakes  (The Expanse, #1)"
222,-1,114217,4,"Once Upon a Car: The Fall and Resurrection of America's Big Three Automakers--GM, Ford, and Chrysler"
223,-1,13707738,4,Boomerang: Travels in the New Third World
224,-1,12382340,4,"Ready Player One  (Ready Player One, #1)"
225,-1,12099136,4,11/22/63
226,-1,17332218,4,"Words of Radiance  (The Stormlight Archive, #2)"
227,-1,11865558,4,Venture Deals
228,-1,12891107,4,"King of Thorns  (The Broken Empire, #2)"
229,-1,285591,4,"Caliban's War  (The Expanse, #2)"
230,-1,18663149,4,"Abaddon's Gate  (Expanse, #3)"
231,-1,13153693,4,Ghettoside: A True Story of Murder in America
232,-1,17702284,4,Dangerous Women
233,-1,15034320,4,"Pines  (Wayward Pines, #1)"
234,-1,32424,4,Ball Lightning
235,-1,5061675,4,"A Song of Ice and Fire, 5-Book Boxed Set: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons  (Song of Ice & Fire 1-5)"
236,-1,25852860,4,The Martian
237,-1,19694475,4,The Girl with All the Gifts
238,-1,17255186,4,"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win"
239,-1,17306293,4,"Shift  (Shift, #1-3; Silo, #2)"
240,-1,17333324,4,Ancillary Justice  (Imperial Radch #1)
241,-1,17568801,4,Zealot: The Life and Times of Jesus of Nazareth
242,-1,17554595,4,"Senlin Ascends  (The Books of Babel, #1)"
243,-1,17910124,4,"The Emperor's Blades  (Chronicle of the Unhewn Throne, #1)"
244,-1,18176747,4,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers
245,-1,18656827,4,"Hatching Twitter: A True Story of Money, Power, Friendship, and Betrayal"
246,-1,24856109,4,The Three-Body Problem  (Remembrance of Earthâs Past #1)
247,-1,20706317,4,The First Fifteen Lives of Harry August
248,-1,18656030,4,"Cibola Burn  (Expanse, #4)"
249,-1,19161852,4,"The Fifth Season  (The Broken Earth, #1)"
250,-1,18775365,4,The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League
251,-1,18952341,4,"The Grace of Kings  (The Dandelion Dynasty, #1)"
252,-1,31423188,4,Startup Boards: Getting the Most Out of Your Board of Directors
253,-1,20509356,4,"Sand Omnibus  (Sand, #1-5)"
254,-1,212890,4,Communicate to Influence: How to Inspire Your Audience to Action
255,-1,123933,4,No Exit: Struggling to Survive a Modern Gold Rush
256,-1,22544764,4,Uprooted
257,-1,22816087,4,Seveneves
258,-1,23164927,4,The Fold
259,-1,23197269,4,Aurora
260,-1,23208397,4,Underground Airlines
261,-1,5979072,4,Dark Matter
262,-1,25602451,4,Losing the Signal: The Untold Story Behind the Extraordinary Rise and Spectacular Fall of BlackBerry
263,-1,24611668,4,Saturn Run
264,-1,25111328,4,438 Days: An Extraordinary True Story of Survival at Sea
265,-1,290186,4,Lower Ed: The Troubling Rise of For-Profit Colleges in the New Economy
266,-1,25499718,4,Children of Time  (Children of Time #1)
267,-1,25744928,4,Deep Work: Rules for Focused Success in a Distracted World
268,-1,30007916,4,A Gentleman in Moscow
269,-1,20645163,4,The Culture Code: The Secrets of Highly Successful Groups
270,-1,25895524,4,"Red Sister  (Book of the Ancestor, #1)"
271,-1,25938481,4,The Genius of Birds
272,-1,26030703,4,Disrupted: My Misadventure in the Start-Up Bubble
273,-1,26118426,4,"Ninefox Gambit  (The Machineries of Empire, #1)"
274,-1,26228034,4,"The Obelisk Gate  (The Broken Earth, #2)"
275,-1,28259132,4,Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley
276,-1,2036093,4,Chile: Carretera Austral: A guide to one of the world's most scenic road trips
277,-1,28962452,4,"Revenger  (Revenger, #1)"
278,-1,29570143,4,New York 2140
279,-1,6065629,4,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity
280,-1,29983711,4,Pachinko
281,-1,30231729,4,The Death and Life of the Great Lakes
282,-1,12997490,4,The Immortalists
283,-1,5064,4,"A Column of Fire  (Kingsbridge, #3)"
284,-1,30841984,4,"Kings of the Wyld  (The Band, #1)"
285,-1,31817749,4,"The Stone Sky  (The Broken Earth, #3)"
286,-1,24874360,4,Circe
287,-1,169651,4,"Jade City  (The Green Bone Saga, #1)"
288,-1,26892143,4,The Rise and Fall of the Dinosaurs: A New History of a Lost World
289,-1,26114416,4,"A Little Hatred  (The Age of Madness, #1)"
290,-1,55067,4,"Middlegame  (Middlegame, #1)"
291,-1,23562877,4,"Skyward  (Skyward, #1)"
292,-1,22822848,4,American Prison: A Reporter's Undercover Journey into the Business of Punishment
293,-1,127888,4,The Making of a Manager: What to Do When Everyone Looks to You
294,-1,11271034,4,The CEO Next Door: The 4 Behaviours that Transform Ordinary People into World Class Leaders
295,-1,9518238,4,Small Fry
296,-1,2087754,4,In Putin's Footsteps: Searching for the Soul of an Empire Across Russia's Eleven Time Zones
297,-1,30689366,4,Say Nothing: A True Story of Murder and Memory in Northern Ireland
298,-1,357486,4,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster
299,-1,556180,4,Recursion
300,-1,556180,4,Recursion
301,-1,20673694,4,Super Pumped: The Battle for Uber
302,-1,14563,4,Blacktop Wasteland
303,-1,17314923,4,"The Shadow of the Gods  (The Bloodsworn Saga, #1)"
304,-1,59660,4,"She Who Became the Sun  (The Radiant Emperor, #1)"
305,-1,27507117,4,The Hidden Life of Trees: The Illustrated Edition
306,-1,16080547,4,The Saints of Salvation  (Salvation Sequence #3)
307,-1,13490776,4,"A Deadly Education  (The Scholomance, #1)"
308,-1,66559,3,Sharp Objects
309,-1,77739,3,"Honor Among Enemies  (Honor Harrington, #6)"
310,-1,49174,3,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
311,-1,1633,3,Getting Things Done: The Art of Stress-Free Productivity
312,-1,13812,3,"Magician: Apprentice  (The Riftwar Saga, #1)"
313,-1,10373853,3,Tunnel in the Sky
314,-1,29133,3,"A Fortress of Grey Ice  (Sword of Shadows, #2)"
315,-1,39020,3,1491: New Revelations of the Americas Before Columbus
316,-1,46654,3,"The Foundation Trilogy  (Foundation, #1-3)"
317,-1,12090838,3,"The Gunslinger  (The Dark Tower, #1)"
318,-1,32508,3,"The Black Echo  (Harry Bosch, #1; Harry Bosch Universe, #1)"
319,-1,1122023,3,Jungle: A Harrowing True Story of Survival in the Amazon
320,-1,34494,3,"The Wee Free Men  (Discworld, #30; Tiffany Aching, #1)"
321,-1,77735,3,"Echoes of Honor  (Honor Harrington, #8)"
322,-1,673158,3,"Darkover: First Contact  (Darkover Omnibus, #6)"
323,-1,96279,3,"Marque and Reprisal  (Vatta's War, #2)"
324,-1,284873,3,"Heris Serrano  (The Serrano Legacy, #1-3)"
325,-1,96594,3,"Fearless  (The Lost Fleet, #2)"
326,-1,21611,3,"Forever Peace  (The Forever War, #2)"
327,-1,98233,3,Founders at Work: Stories of Startups' Early Days
328,-1,140671,3,Shadow Games: The Fourth Chronicles of the Black Company: First Book of the South
329,-1,12016,3,"Look to Windward  (Culture, #7)"
330,-1,89187,3,"Revelation Space  (Revelation Space, #1)"
331,-1,96276,3,"Command Decision  (Vatta's War, #4)"
332,-1,71135,3,The Great Gatsby
333,-1,16130312,3,After the Ice Age: The Return of Life to Glaciated North America
334,-1,284873,3,"Hunting Party  (The Serrano Legacy, #1)"
335,-1,25656228,3,Way Station
336,-1,400906,3,"The White Rose  (The Chronicle of the Black Company, #3)"
337,-1,140671,3,"The Black Company  (The Chronicle of the Black Company, #1)"
338,-1,406911,3,"An Oblique Approach  (Belisarius, #1)"
339,-1,454614,3,A Rulebook for Arguments
340,-1,504366,3,"Insurrection  (Starfire, #1)"
341,-1,507932,3,"Orphan Star  (Pip & Flinx Adventures, #2)"
342,-1,68487,3,"Assassin's Quest  (Farseer Trilogy, #3)"
343,-1,386366,3,"Equal Rites  (Discworld, #3)"
344,-1,91476,3,"Grave Peril  (The Dresden Files, #3)"
345,-1,9777,3,The God of Small Things
346,-1,91981,3,"The Dragonbone Chair  (Memory, Sorrow, and Thorn, #1)"
347,-1,91477,3,"Fool Moon  (The Dresden Files, #2)"
